,Unnamed: 0,classifier,accuracy,precision,recall,fscore,ae_model,dim
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,21
1,1,SVM,0.5537190082644629,0.5509756932557344,0.5515403253721011,0.5506498865277492,DVCCA,21
2,2,RF,0.4421487603305785,0.4351851851851852,0.4350640359986154,0.4351171435981672,DVCCA,21
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,21
4,4,MLP,0.5619834710743802,0.558893657606104,0.5085496711664935,0.3990817091454273,DVCCA,21
5,5,Extra,0.4297520661157025,0.4149306789904017,0.4171685704395984,0.4153361344537815,DVCCA,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,DVCCA,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,DVCCA,3500
2,2,RF,0.5082644628099173,0.4818627450980393,0.4846313603322949,0.4725157981500137,DVCCA,3500
3,3,NB,0.5330578512396694,0.5220462328767124,0.5213914849428868,0.5206072611889276,DVCCA,3500
4,4,MLP,0.5537190082644629,0.4784810126582278,0.4982346832814122,0.3726958525345622,DVCCA,3500
5,5,Extra,0.5247933884297521,0.4993238674780257,0.4994461751471097,0.4853444290337494,DVCCA,3500
6,6,KNN,0.5702479338842975,0.5684102564102564,0.5692627206645897,0.5678571428571428,DVCCA,3500
0,0,LR,0.4462809917355372,0.4443076923076923,0.443613707165109,0.4432005494505494,DVCCA,350
1,1,SVM,0.5495867768595041,0.4023109243697479,0.4935617860851505,0.362896408472816,DVCCA,350
2,2,RF,0.5413223140495868,0.5229866835764109,0.5200761509172724,0.5123359294156091,DVCCA,350
3,3,NB,0.5371900826446281,0.5362437657990026,0.5367255105572862,0.5351581258146395,DVCCA,350
4,4,MLP,0.5,0.4703488372093023,0.4752855659397715,0.4611236864866854,DVCCA,350
5,5,Extra,0.5206611570247934,0.4893578480210125,0.4918656974731741,0.4712176009644364,DVCCA,350
6,6,KNN,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,DVCCA,350
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,700
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,DVCCA,700
2,2,RF,0.5371900826446281,0.5169003809678203,0.5144340602284527,0.5046783625730995,DVCCA,700
3,3,NB,0.5495867768595041,0.5400368480725624,0.5391138802353755,0.5388058396712999,DVCCA,700
4,4,MLP,0.5578512396694215,0.5294117647058824,0.501938386985116,0.374586382629278,DVCCA,700
5,5,Extra,0.4958677685950413,0.4694610778443114,0.4735202492211837,0.4628484098682774,DVCCA,700
6,6,KNN,0.5537190082644629,0.5492744653049997,0.549601938386985,0.5492860591846589,DVCCA,700
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,70
1,1,SVM,0.5867768595041323,0.5799399315499056,0.5792315680166147,0.5794230100799445,DVCCA,70
2,2,RF,0.5,0.4586769115442278,0.4694704049844236,0.4436781609195401,DVCCA,70
3,3,NB,0.5082644628099173,0.4772727272727273,0.481723779854621,0.4647510361875732,DVCCA,70
4,4,MLP,0.4421487603305785,0.2210743801652892,0.5,0.3065902578796561,DVCCA,70
5,5,Extra,0.5206611570247934,0.4862019914651493,0.4899273104880581,0.4650914634146341,DVCCA,70
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,DVCCA,70
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,DVCCA,7
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,DVCCA,7
2,2,RF,0.5495867768595041,0.5407746478873239,0.5400830737279335,0.5399640733183347,DVCCA,7
3,3,NB,0.5165289256198347,0.4068181818181818,0.4687781239183108,0.3817228955126106,DVCCA,7
4,4,MLP,0.5578512396694215,0.5321100917431192,0.5116303219106957,0.4400449797807235,DVCCA,7
5,5,Extra,0.5578512396694215,0.547945205479452,0.546521287642783,0.5460617428957102,DVCCA,7
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,DVCCA,7
0,0,LR,0.5330578512396694,0.5085227272727273,0.5068535825545171,0.4917383789008047,jointAAE,21
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,jointAAE,21
2,2,RF,0.4876033057851239,0.4785220367395404,0.4787123572170301,0.478484532499131,jointAAE,21
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,21
4,4,MLP,0.5578512396694215,0.5299145299145299,0.5038767739702319,0.3897961588311536,jointAAE,21
5,5,Extra,0.5,0.4966419956140351,0.4966078227760471,0.4962063210777145,jointAAE,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,jointAAE,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,jointAAE,3500
2,2,RF,0.4462809917355372,0.4335664335664336,0.4348909657320872,0.4337500873087937,jointAAE,3500
3,3,NB,0.5413223140495868,0.4640486725663716,0.491000346140533,0.3950408756165124,jointAAE,3500
4,4,MLP,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,jointAAE,3500
5,5,Extra,0.4752066115702479,0.4640845070422535,0.4646936656282451,0.4639948377195277,jointAAE,3500
6,6,KNN,0.5785123966942148,0.578512396694215,0.5795777085496712,0.5770970394736843,jointAAE,3500
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,350
1,1,SVM,0.5495867768595041,0.5293560606060606,0.5236067843544479,0.5097299407096259,jointAAE,350
2,2,RF,0.5165289256198347,0.5076330532212885,0.5075458636206299,0.5073684210526316,jointAAE,350
3,3,NB,0.5578512396694215,0.5291666666666667,0.500969193492558,0.3665076452599388,jointAAE,350
4,4,MLP,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,jointAAE,350
5,5,Extra,0.5206611570247934,0.5095627444009954,0.5093111803392177,0.5085434173669467,jointAAE,350
6,6,KNN,0.5785123966942148,0.5794903327184533,0.5805469020422291,0.5774734679904143,jointAAE,350
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,700
1,1,SVM,0.5454545454545454,0.5034806540391776,0.5014884042921426,0.4375422582826234,jointAAE,700
2,2,RF,0.4876033057851239,0.4739706408879341,0.4748355832467982,0.4732111509023242,jointAAE,700
3,3,NB,0.5413223140495868,0.4548872180451128,0.4900311526479751,0.3884297520661157,jointAAE,700
4,4,MLP,0.4421487603305785,0.2210743801652892,0.5,0.3065902578796561,jointAAE,700
5,5,Extra,0.4710743801652892,0.4592074592074592,0.4600207684319833,0.4591045610113851,jointAAE,700
6,6,KNN,0.5991735537190083,0.6017378215654078,0.6029421945309796,0.5986184019287657,jointAAE,700
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70
1,1,SVM,0.5991735537190083,0.5953983516483516,0.5961578400830737,0.5955199448608599,jointAAE,70
2,2,RF,0.5082644628099173,0.5030303030303029,0.5030460366908965,0.5029600096653376,jointAAE,70
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,70
4,4,MLP,0.5991735537190083,0.5996584699453552,0.6010038075458636,0.598013528555527,jointAAE,70
5,5,Extra,0.5082644628099173,0.5020729684908789,0.5020768431983386,0.5020662228754214,jointAAE,70
6,6,KNN,0.5661157024793388,0.5665983606557377,0.5674974039460021,0.5648600051374262,jointAAE,70
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,7
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,jointAAE,7
2,2,RF,0.4586776859504132,0.453030303030303,0.4527864312911042,0.4528383299677246,jointAAE,7
3,3,NB,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,jointAAE,7
4,4,MLP,0.5661157024793388,0.5742753623188406,0.5141917618553132,0.4149879129734085,jointAAE,7
5,5,Extra,0.4710743801652892,0.4627737226277372,0.4629283489096573,0.462819089900111,jointAAE,7
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,jointAAE,7
0,0,LR,0.4710743801652892,0.4638975424022152,0.4638975424022152,0.4638975424022152,me_mVAE,21
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,me_mVAE,21
2,2,RF,0.4793388429752066,0.4722741433021806,0.4722741433021806,0.4722741433021806,me_mVAE,21
3,3,NB,0.5454545454545454,0.4434907010014306,0.4917964693665628,0.3764055472263868,me_mVAE,21
4,4,MLP,0.4504132231404958,0.4910168195718654,0.4967462789892696,0.3771456216739235,me_mVAE,21
5,5,Extra,0.4710743801652892,0.4681273536460116,0.4677743163724472,0.4674369025514063,me_mVAE,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,me_mVAE,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,me_mVAE,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,me_mVAE,3500
2,2,RF,0.4421487603305785,0.4186046511627906,0.4244029075804776,0.418300304470915,me_mVAE,3500
3,3,NB,0.4297520661157025,0.4324546388223211,0.4317064728279681,0.4291282051282051,me_mVAE,3500
4,4,MLP,0.4628099173553719,0.4655939746662102,0.4652128764278297,0.4622222222222222,me_mVAE,3500
5,5,Extra,0.4710743801652892,0.4592074592074592,0.4600207684319833,0.4591045610113851,me_mVAE,3500
6,6,KNN,0.5289256198347108,0.5279770444763271,0.5283489096573208,0.5268573780613295,me_mVAE,3500
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,me_mVAE,350
1,1,SVM,0.5785123966942148,0.6027849893792778,0.5301488404292143,0.452779994679436,me_mVAE,350
2,2,RF,0.4586776859504132,0.4483193277310924,0.4489096573208723,0.4484210526315789,me_mVAE,350
3,3,NB,0.4628099173553719,0.4690896503980616,0.4690896503980616,0.4628099173553718,me_mVAE,350
4,4,MLP,0.4421487603305785,0.2210743801652892,0.5,0.3065902578796561,me_mVAE,350
5,5,Extra,0.4297520661157025,0.4164724164724165,0.4181377639321564,0.4168471048403995,me_mVAE,350
6,6,KNN,0.5371900826446281,0.5391452991452992,0.5396330910349602,0.53639846743295,me_mVAE,350
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,me_mVAE,700
1,1,SVM,0.5743801652892562,0.6181159420289855,0.5225683627552786,0.4261310003453435,me_mVAE,700
2,2,RF,0.4545454545454545,0.4362855687358998,0.4393907926618207,0.4358974358974359,me_mVAE,700
3,3,NB,0.3925619834710744,0.3947728516694034,0.3935271720318449,0.3917206709642118,me_mVAE,700
4,4,MLP,0.5041322314049587,0.5355616989193265,0.5293873312564901,0.4915966386554622,me_mVAE,700
5,5,Extra,0.4586776859504132,0.4429269695227141,0.4450328833506404,0.4426805899829474,me_mVAE,700
6,6,KNN,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,me_mVAE,700
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,me_mVAE,70
1,1,SVM,0.5743801652892562,0.5721127531472359,0.5729664243682935,0.5717402883012903,me_mVAE,70
2,2,RF,0.4504132231404958,0.4385211267605634,0.4395638629283489,0.4386717591865919,me_mVAE,70
3,3,NB,0.5413223140495868,0.5299022426682001,0.5287988923502942,0.5277675228099784,me_mVAE,70
4,4,MLP,0.4421487603305785,0.4705882352941176,0.498061613014884,0.3187363152955896,me_mVAE,70
5,5,Extra,0.4710743801652892,0.456641604010025,0.4580823814468674,0.4562179622217541,me_mVAE,70
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,me_mVAE,70
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,me_mVAE,7
1,1,SVM,0.5495867768595041,0.5500683060109289,0.5507442021460713,0.5482832434283756,me_mVAE,7
2,2,RF,0.4958677685950413,0.4920079577416478,0.4919349255797853,0.4916666666666667,me_mVAE,7
3,3,NB,0.5578512396694215,0.5299145299145299,0.5038767739702319,0.3897961588311536,me_mVAE,7
4,4,MLP,0.5537190082644629,0.5130690161527166,0.5030806507442022,0.4082057784620958,me_mVAE,7
5,5,Extra,0.5,0.4937119955776672,0.4937002422983731,0.4936975879657647,me_mVAE,7
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,me_mVAE,7
0,0,LR,0.4917355371900826,0.4883497807017544,0.4882312218760817,0.4878791528310652,MoPoEVAE,21
1,1,SVM,0.5578512396694215,0.5573770491803278,0.5581516095534786,0.5561459743910591,MoPoEVAE,21
2,2,RF,0.4958677685950413,0.4910253765215597,0.4909657320872274,0.4908601779678554,MoPoEVAE,21
3,3,NB,0.5454545454545454,0.2761506276150627,0.4888888888888889,0.3529411764705882,MoPoEVAE,21
4,4,MLP,0.4380165289256198,0.433434650455927,0.4924195223260644,0.3222963512066551,MoPoEVAE,21
5,5,Extra,0.4545454545454545,0.4525811965811965,0.4519903080650744,0.4515109890109889,MoPoEVAE,21
6,6,KNN,0.5661157024793388,0.5647211591033352,0.5655590169608862,0.563963963963964,MoPoEVAE,21
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,MoPoEVAE,3500
1,1,SVM,0.5578512396694215,0.2789256198347107,0.5,0.3580901856763925,MoPoEVAE,3500
2,2,RF,0.4917355371900826,0.4969696969696969,0.4969539633091034,0.4916574161045171,MoPoEVAE,3500
3,3,NB,0.4958677685950413,0.5414794848757113,0.5287642782969886,0.4694508338125359,MoPoEVAE,3500
4,4,MLP,0.5,0.4511133603238866,0.4665628245067497,0.4333430091920658,MoPoEVAE,3500
5,5,Extra,0.4876033057851239,0.4942194530979578,0.4942194530979578,0.4876033057851239,MoPoEVAE,3500
6,6,KNN,0.4462809917355372,0.4507255346950003,0.4503980616130149,0.4461296713807474,MoPoEVAE,3500
0,0,LR,0.5537190082644629,0.2780082987551867,0.4962962962962963,0.3563829787234042,MoPoEVAE,350
1,1,SVM,0.5661157024793388,0.5492424242424243,0.5296988577362409,0.4946602231370443,MoPoEVAE,350
2,2,RF,0.5165289256198347,0.5085702341137124,0.5085150571131879,0.5084631008801624,MoPoEVAE,350
3,3,NB,0.4876033057851239,0.4980574980574981,0.4980962270681897,0.487042735042735,MoPoEVAE,350
4,4,MLP,0.4421487603305785,0.2210743801652892,0.5,0.3065902578796561,MoPoEVAE,350
